2024-02-20 09:46:59,112 INFO    MainThread:18124 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_setup.py:_flush():76] Configure stats pid to 18124
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Administrator\.config\wandb\settings
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_setup.py:_flush():76] Loading settings from D:\ML\Projects\MyTransferLearning-wangjindong-\code\clip\wandb\settings
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'code\\clip\\main.py', 'program': 'D:\\ML\\Projects\\MyTransferLearning-wangjindong-\\code\\clip\\main.py'}
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_init.py:_log_setup():507] Logging user logs to D:\ML\Projects\MyTransferLearning-wangjindong-\code\clip\wandb\run-20240220_094659-uzmzkawg\logs\debug.log
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_init.py:_log_setup():508] Logging internal logs to D:\ML\Projects\MyTransferLearning-wangjindong-\code\clip\wandb\run-20240220_094659-uzmzkawg\logs\debug-internal.log
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_init.py:init():547] calling init triggers
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'gpu': 0, 'mode': 'ft', 'dataset': 0, 'model': 0, 'root': 'D:\\ML\\Dataset/', 'log_file': 'D:\\ML\\Projects\\MyTransferLearning-wangjindong-\\code\\clip/log/ft_RN50_dataset_OfficeHome_Art.txt', 'seed': 42, 'result': False, 'batchsize': 32, 'nepoch': 10, 'lr': 5e-05, 'beta1': 0.9, 'beta2': 0.98, 'eps': 1e-06, 'weight_decay': 0.2, 'test_batchsize': 32, 'test_data': 1}
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_init.py:init():596] starting backend
2024-02-20 09:46:59,113 INFO    MainThread:18124 [wandb_init.py:init():600] setting up manager
2024-02-20 09:46:59,115 INFO    MainThread:18124 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2024-02-20 09:46:59,117 INFO    MainThread:18124 [wandb_init.py:init():606] backend started and connected
2024-02-20 09:46:59,119 INFO    MainThread:18124 [wandb_init.py:init():697] updated telemetry
2024-02-20 09:46:59,152 INFO    MainThread:18124 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2024-02-20 09:46:59,722 INFO    MainThread:18124 [wandb_run.py:_on_init():2180] communicating current version
2024-02-20 09:47:00,038 INFO    MainThread:18124 [wandb_run.py:_on_init():2189] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-20 09:47:00,038 INFO    MainThread:18124 [wandb_init.py:init():781] starting run threads in backend
2024-02-20 09:47:08,792 INFO    MainThread:18124 [wandb_run.py:_console_start():2159] atexit reg
2024-02-20 09:47:08,792 INFO    MainThread:18124 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2024-02-20 09:47:08,792 INFO    MainThread:18124 [wandb_run.py:_redirect():2079] Wrapping output streams.
2024-02-20 09:47:08,793 INFO    MainThread:18124 [wandb_run.py:_redirect():2104] Redirects installed.
2024-02-20 09:47:08,793 INFO    MainThread:18124 [wandb_init.py:init():822] run started, returning control to user process
